2,35843,13,19835,34,21,148,4,68,751,18,45,31,4606,0,2152,35843,9,244,0,0,0,0,0,0,0,0,0,0,0,0,
2,39,5,2592,79,1212,79,1328,210,188,13,137,39,5,2592,1792,849,79,9060,55,0,0,0,0,0,0,0,0,0,0,0,
3,305,1151,40741,7,3951,221,5566,8045,6084,5927,357,38759,1183,360,48,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2538,14,88,967,41,443,0,1033,9668,3736,6406,132,2107,41,6343,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,13,2931,4761,1220,40741,5451,167,152,25,1923,494,3604,282,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,40741,96,354,40741,5089,40741,96,145,1,35,40741,26742,40741,13,342,90,56,504,0,0,0,0,0,0,0,0,0,0,0,0,
1,407,82,112,5510,5636,165,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,40741,3,216,91,4666,2471,3,2181,312,8216,9,42,10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,40741,1466,2053,40741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,355,3536,0,25813,21160,15,375,3,129,4,388,0,40,17,1249,1,8,763,40741,735,0,0,0,0,0,0,0,0,0,0,
3,1098,2323,863,25,7,1521,5700,6,1,0,1852,11,1,7,311,1521,7,16527,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,302,35,2443,3652,2460,6214,35843,4,5,461,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,4569,40741,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,14509,2674,315,50,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1512,52,3874,1966,0,82,213,10,52,3874,1966,25,36,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,294,4,40741,52,679,2065,0,5761,10096,894,238,98,1334,9953,4009,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,37204,466,560,75,490,25,296,37204,466,75,4563,560,25,296,13003,5893,31,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,629,0,37726,307,259,2,36,18,1332,40741,6,1,16,88,768,29,0,2229,5713,11,0,0,0,0,0,0,0,0,0,0,
1,3131,0,52,4,5,66,10,0,52,3131,99,122,1754,1071,43,3857,3,1393,0,0,0,0,0,0,0,0,0,0,0,0,
4,5697,687,25935,33577,32,2471,6,1639,1118,1715,880,149,14170,2253,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,8,484,33655,0,40741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,245,442,34892,40741,64,299,1399,6,201,4236,4,40741,0,386,40741,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,40741,34313,40741,5138,32577,101,7,3912,342,1096,64,81,1018,633,238,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
